Id,Start time,Completion time,Email,Name,Is a hotdog a sandwich?,Explain your answer.,What year are you? ,Where are you from? 
1,1/16/2025 12:02,1/16/2025 12:02,anonymous,,No,its just not,Fourth-Year ,nova
2,1/16/2025 12:02,1/16/2025 12:03,anonymous,,No,,Fourth-Year ,
3,1/16/2025 12:02,1/16/2025 12:03,anonymous,,No,"The bread is connected for a hot dog, while a sandwich has two separate pieces of bread.",Fourth-Year ,Northern Virginia
4,1/16/2025 12:02,1/16/2025 12:03,anonymous,,No,"A hot dog is a hot dog with or without the bread, a sandwhich without the bread is not a sandwhich",Fourth-Year ,NoVa
5,1/16/2025 12:03,1/16/2025 12:04,anonymous,,No,"The definition of a sandwich involves TWO pieces of bread; the bun on a hotdog is one entire piece of bread, just folded in half.",Fourth-Year ,"Houston, Texas"
6,1/16/2025 12:04,1/16/2025 12:04,anonymous,,No,,Fourth-Year ,"Vienna, Virginia"
7,1/16/2025 12:03,1/16/2025 12:05,anonymous,,No,You don't assemble the ingredients like a sandwich + you eat it vertically not horizontally like a sandwich.,Fourth-Year ,Virginia
8,1/16/2025 12:04,1/16/2025 12:05,anonymous,,No,,Fourth-Year ,"Arlington, VA"
9,1/16/2025 12:04,1/16/2025 12:05,anonymous,,No,,Fourth-Year ,san francisco 
10,1/16/2025 12:05,1/16/2025 12:05,anonymous,,No,The way of eating.,Fourth-Year ,New Jersey
11,1/16/2025 12:05,1/16/2025 12:05,anonymous,,No,,Fourth-Year ,
12,1/16/2025 12:04,1/16/2025 12:05,anonymous,,Yes ,Bread and meat,Second-Year ,Nova
13,1/16/2025 12:04,1/16/2025 12:05,anonymous,,No,It’s a single bun,Fourth-Year ,Virginia
14,1/16/2025 12:04,1/16/2025 12:05,anonymous,,Yes ,,Fourth-Year ,
15,1/16/2025 12:04,1/16/2025 12:05,anonymous,,No,"Because a hot dog bun is connected at one end, it cannot be considered a sandwich.",Fourth-Year ,"Richmond, VA"
16,1/16/2025 12:04,1/16/2025 12:05,anonymous,,No,You wouldn't cut a hot dog in half like you could for any sandwich ,Fourth-Year ,Texas
17,1/16/2025 12:05,1/16/2025 12:05,anonymous,,No,"a hotdog is its own entity and similar to a hamburger, which also isnt a sandwich",Fourth-Year ,"Arlington, Virginia"
18,1/16/2025 12:04,1/16/2025 12:05,anonymous,,No,,Fourth-Year ,
19,1/16/2025 12:04,1/16/2025 12:05,anonymous,,Yes ,Because it is on a bun in between two pieces,Fourth-Year ,MA
20,1/16/2025 12:05,1/16/2025 12:05,anonymous,,No,,Fourth-Year ,"Long Island, NY"
21,1/16/2025 12:04,1/16/2025 12:05,anonymous,,Yes ,Yes because the definition of a sandwich is something enclosed between two pieces of bread and a hotdog is,Fourth-Year ,New York
22,1/16/2025 12:05,1/16/2025 12:06,anonymous,,No,it's a hot dog! duh! ,Fourth-Year ,Georgia
23,1/16/2025 12:06,1/16/2025 12:06,anonymous,,No,,Fourth-Year ,San Francisco
24,1/16/2025 12:06,1/16/2025 12:06,anonymous,,No,Not a sandwich bc duh,Fourth-Year ,Ct
25,1/16/2025 12:04,1/16/2025 12:06,anonymous,,No,,Fourth-Year ,
26,1/16/2025 12:04,1/16/2025 12:06,anonymous,,No,it's not between two separate slices and you eat it in a different orientation,Fourth-Year ,"chesapeake, va"
27,1/16/2025 12:06,1/16/2025 12:06,anonymous,,No,,Fourth-Year ,Virginia
28,1/16/2025 12:04,1/16/2025 12:06,anonymous,,No,"A hot dog goes on a hot dog bun, not sandwich bread and sits on a separate part of the menu.  Or, if it is grouped with sandwiched, the menu reads ""handhelds"" and not ""sandwiches"" because hot dogs are not sandwiches.",Fourth-Year ,NY
29,1/16/2025 12:04,1/16/2025 12:06,anonymous,,No,"A hotdog is culturally different than a sandwich. The meat is not a cold cut, or typical lunch meat. The toppings are not smushed in the bread, but instead float on the meat. It does not fit the official definition. Think about it, you would cut a sandwich in calf, you would NOT but a hot dog in half. ",Fourth-Year ,"Atlanta, GA"
30,1/16/2025 12:05,1/16/2025 12:07,anonymous,,No,"yes, it has bread around a substance. however, a sandwich requires two seperate bread componnets. a hot dog is one piece of bread, so it could really be seen as an open bread sandwich. ",Fourth-Year ,nova
31,1/16/2025 12:05,1/16/2025 12:07,anonymous,,No,If you go to a food stall/restaurant/any food establishment and asked for a sandwich. You are not going to be very satisfied when they gave you a hotdog instead.,Fourth-Year ,
32,1/16/2025 12:06,1/16/2025 12:07,anonymous,,No,i think it is its own entity ,Fourth-Year ,Los Angeles
33,1/16/2025 12:07,1/16/2025 12:07,anonymous,,No,,Fourth-Year ,Philly
34,1/16/2025 12:07,1/16/2025 12:08,anonymous,,No,Bread connected wrapped on bottom vs top bottom with sides exposed,Fourth-Year ,McLean Va
35,1/16/2025 12:04,1/16/2025 12:08,anonymous,,No,There needs to be two pieces of bread for something to be a sandwich.,Graduate Student,"Leesburg, VA "
36,1/16/2025 12:07,1/16/2025 12:08,anonymous,,No,,Third-Year,Northern Virginia
37,1/16/2025 12:08,1/16/2025 12:08,anonymous,,No,,Third-Year,Charlottesville
38,1/16/2025 12:08,1/16/2025 12:09,anonymous,,No,"A hotdog is a completely different food. Otherwise, it would be considered a pork or mystery meat sandwich.",Fourth-Year ,Pennsylvania 
39,1/16/2025 12:09,1/16/2025 12:10,anonymous,,No,hotdog is its own category ,Second-Year ,staunton va 
40,1/16/2025 12:10,1/16/2025 12:10,anonymous,,No,It’s covered in 3 sides so more taco like,Fourth-Year ,Boston 
41,1/16/2025 12:10,1/16/2025 12:10,anonymous,,No,a sandwich has two pieces of bread and a hot dog bun is one piece,Third-Year,VA
42,1/16/2025 12:11,1/16/2025 12:11,anonymous,,No,It is not two pieces of separate bread,Third-Year,Virginia Beach
43,1/16/2025 12:10,1/16/2025 12:11,anonymous,,No,the hotdog bun is connected. in order to be a sandwich there needs to be two separate pieces of bread,Third-Year,"Chantilly, VA"
44,1/16/2025 12:12,1/16/2025 12:13,anonymous,,No,"If anything, a hot dog is a taco. It is one piece of bread-like covering wrapped around a filling",Fourth-Year ,Virginia
45,1/16/2025 12:13,1/16/2025 12:13,anonymous,,No,A hotdog is not a sandwich it is a hotdog.,Fourth-Year ,"Fairfax, VA"
46,1/16/2025 12:13,1/16/2025 12:14,anonymous,,No,It’s just one piece of bread… ,Fourth-Year ,NY
47,1/16/2025 12:11,1/16/2025 12:15,anonymous,,No,I have read more literature on this than I care to. A hotdog is clearly a sandwich but I have decided to vote no because of my girlfriend telling me to.,Fourth-Year ,"Poop Creek, Oregon"
48,1/16/2025 12:14,1/16/2025 12:15,anonymous,,No,it is a hotdog,Third-Year,aldie
49,1/16/2025 12:14,1/16/2025 12:15,anonymous,,No,the national hot dog and sausage council said so,Second-Year ,nova
50,1/16/2025 12:15,1/16/2025 12:17,anonymous,,No,It’s not two pieces of bread stacked on top of each other with stuff in the middle,Third-Year,"Charlottesville, VA"
51,1/16/2025 12:17,1/16/2025 12:17,anonymous,,No,,Third-Year,Northern Virginia
52,1/16/2025 12:24,1/16/2025 12:25,anonymous,,No,It's a taco,Fourth-Year ,Virginia
53,1/16/2025 12:22,1/16/2025 12:25,anonymous,,No,"If people say yes to this, they order off the kids menu at nice restaurants ",Fourth-Year ,The U.S 
54,1/16/2025 12:25,1/16/2025 12:25,anonymous,,No,This seems pretty obvious to me. ,Fourth-Year ,New York
55,1/16/2025 12:26,1/16/2025 12:26,anonymous,,No,,Fourth-Year ,Tennessee
56,1/16/2025 12:30,1/16/2025 12:30,anonymous,,No,It’s just not,Fourth-Year ,Austin TX
57,1/16/2025 12:32,1/16/2025 12:33,anonymous,,No,My head says it is but my heart says it isn’t ,Second-Year ,New York 
58,1/16/2025 12:37,1/16/2025 12:37,anonymous,,Yes ,a piece of meat or veggies between bread is a sandwich,Third-Year,The world
59,1/16/2025 12:05,1/16/2025 12:43,anonymous,,No,,Fourth-Year ,"Virginia Beach, VA"
60,1/16/2025 12:40,1/16/2025 12:47,anonymous,,Yes ,"subs and sandwhiches and hotdogs have sub bread. a hot dog by itself is technically a sausage, and sandwiches can be made with sausage (i.e. breakfast sandwhiches). ",Fourth-Year ,virginia 
61,1/16/2025 13:06,1/16/2025 13:06,anonymous,,No,A bun does not make a sandwich,Fourth-Year ,New York
62,1/16/2025 13:06,1/16/2025 13:06,anonymous,,No,It’s more of a taco ,Fourth-Year ,Virginia
63,1/16/2025 13:14,1/16/2025 13:14,anonymous,,Yes ,Two pieces of braid with something in between,Second-Year ,"Princeton, New Jersey"
64,1/16/2025 13:28,1/16/2025 13:33,anonymous,,No,"According to the online definition: ""a sandwich is an item of food consisting of 2 slices of bread"". I belive using a bun does not qualify as using 2 slices of bread. Therefore, a hotdog is not a sandwich.",Fourth-Year ,Charlottesville 
65,1/16/2025 13:49,1/16/2025 13:49,anonymous,,No,if i saw it under the sandwich section on a menu id be confused,Third-Year,Boston
66,1/16/2025 13:58,1/16/2025 13:58,anonymous,,No,It’s made with one piece of bread therefore it is not a sandwich,Third-Year,Cincinnati 
67,1/16/2025 14:02,1/16/2025 14:02,anonymous,,No,Its a roll,Graduate Student,Northern Virginia
68,1/16/2025 14:08,1/16/2025 14:09,anonymous,,No,"It’s not a sandwich because there are not two separate pieces of bread. It’s all one piece of bread that is folded with an opening on one side. Thus, a hot dog is actually under the classification of a taco. ",Fourth-Year ,"Richmond, Virginia"
69,1/16/2025 14:21,1/16/2025 14:22,anonymous,,No,it's not,Fourth-Year ,seattle
70,1/16/2025 14:23,1/16/2025 14:24,anonymous,,No,A sandwich can close and a hot dog does not completely close,Third-Year,NOVA
71,1/16/2025 17:28,1/16/2025 17:34,anonymous,,Yes ,A sub is a sandwich so a meatball sub is a sandwich and a hot dog is really similar ,Third-Year,Northern Virginia 
72,1/16/2025 19:53,1/16/2025 19:55,anonymous,,No,The orientation that a hot dog is typically eaten is fundamentally different than that of a sandwich. ,Fourth-Year ,"Staunton, VA"
73,1/16/2025 20:15,1/16/2025 20:15,anonymous,,No,Why would it be a sandwich????,Second-Year ,"Williamsburg, VA"
74,1/16/2025 20:15,1/16/2025 20:15,anonymous,,Yes ,IT'S MEATS AND TOPPINGS IN TWO SIDES OF BREAD IT'S A SANDO,Third-Year,Reston VA
75,1/16/2025 20:15,1/16/2025 20:16,anonymous,,No,"i subscribe to the ""cube rule of food""",Second-Year ,"Springfield, VA"
76,1/16/2025 20:14,1/16/2025 20:17,anonymous,,Yes ,"I would vote third party if I had the option. A hot dog exists in a nebulous middle zone, not sandwich but also not not sandwich. Schrodinger's hot dog....",Second-Year ,"Blacksburg, VA"
77,1/16/2025 20:21,1/16/2025 20:22,anonymous,,Yes ,material between bread.,Graduate Student,NoVA
78,1/17/2025 11:11,1/17/2025 11:11,anonymous,,No,It’s one piece of bread. ,Third-Year,"Chantilly, VA "
79,1/17/2025 11:11,1/17/2025 11:11,anonymous,,No,It is a sub,Second-Year ,Hk
80,1/17/2025 13:45,1/17/2025 13:46,anonymous,,Yes ,It has bread and things on the inside ,Fourth-Year ,Northern Virginia (Springfield)
81,1/17/2025 16:54,1/17/2025 17:02,anonymous,,Yes ,"Merriam Webster has two definitions for sandwich, the first being our social norm of two peices of bread and the second being anything with bread on both sides and food in between. So it is a not a conventional ""sandwich"" in the way most use the term but it is still by definition a sandwich in the broader sense that subs, hoagies are all subsets within the sandwich family.",Second-Year ,Richmond 
82,1/17/2025 17:53,1/17/2025 17:54,anonymous,,Yes ,"Yes. If you can make a sandwich out of a croissant, u can make one out of a hotdog bun .",Second-Year ,nova
83,1/18/2025 8:32,1/18/2025 8:33,anonymous,,Yes ,A meatball sub is a sandwich and I feel like most people would consider a burger a sandwich too so a hotdog’s just another sandwich with a different meat shape,Third-Year,Northern VA
84,1/21/2025 11:12,1/21/2025 11:12,anonymous,,No,,Fourth-Year ,
85,1/21/2025 11:13,1/21/2025 11:13,anonymous,,Yes ,"A sandwich is defined as a piece or two pieces of bread with filling inbetween. By that definition, it should logically be a sandwich, though culturally it can be classified as its own thing",Fourth-Year ,Florida
86,1/21/2025 11:13,1/21/2025 11:14,anonymous,,No,,Fourth-Year ,Williamsburg
87,1/21/2025 11:14,1/21/2025 11:14,anonymous,,No,,Fourth-Year ,
88,1/21/2025 11:13,1/21/2025 11:15,anonymous,,No,"Every sandwich has a prefix, hotdogs do not. Therefore, a hotdog is its own category.",Fourth-Year ,"Scottsdale, Arizona"
89,1/21/2025 11:14,1/21/2025 11:15,anonymous,,Yes ,A philly cheesesteak is clearly a sandwich and uses the same type of bread. Hotdog should be no different.,Fourth-Year ,"Williamsburg, VA"
90,1/21/2025 11:14,1/21/2025 11:15,anonymous,,No,it's a single piece of bread,Fourth-Year ,VA
91,1/21/2025 11:14,1/21/2025 11:15,anonymous,,Yes ,"By definition, it is a sandwich. Socially, it is not. Thus, it is a sandwich. ",Fourth-Year ,Washington D.C.
92,1/21/2025 11:15,1/21/2025 11:16,anonymous,,Yes ,"A hotdog is a sandwich due to having meat/other toppings in between two pieces of bread.  It is no different than an Italian sandwich, the meat is just in tube form.",Fourth-Year ,Charlottesville
93,1/21/2025 11:14,1/21/2025 11:16,anonymous,,Yes ,"Cheesesteak, Sub, etc.",Fourth-Year ,Boston
94,1/21/2025 11:13,1/21/2025 11:16,anonymous,,No,A hot dog is an ambiguous delicacy that is a staple of American cuisine and culture. It's strong stature and history make it independent and not needing to be carelessly clumped into a category such as a sandwich.,Fourth-Year ,"Richmond, Virginia"
95,1/21/2025 11:15,1/21/2025 11:16,anonymous,,No,"It is not. A Hot Dog is a Hot Dog, not a sandwich. If you to the grocery store and buy hot dogs you are buying the sausage with hot dog buns on the side, which clearly explains it is not a sandwich.",Fourth-Year ,"Guayaquil, Ecuador"
96,1/21/2025 11:14,1/21/2025 11:16,anonymous,,Yes ,"It has meat and other toppings contained in bread, it is portable",Fourth-Year ,Virginia
97,1/21/2025 11:13,1/21/2025 11:17,anonymous,,Yes ,It fits the technical Meriam Webster definition of a sandwhich. ,Fourth-Year ,"Ashburn, VA"
98,1/21/2025 11:17,1/21/2025 11:17,anonymous,,Yes ,A philly cheesesteak is a sandwich and so is a hot dog. ,Fourth-Year ,Williamsburg
99,1/21/2025 11:15,1/21/2025 11:17,anonymous,,Yes ,"based on the definition: ""two or more slices of bread or a split roll having a filling in between"" a hotdog in sandwich ",Fourth-Year ,"Charlotte, NC"
100,1/21/2025 11:16,1/21/2025 11:18,anonymous,,Yes ,If subway makes sandwiches then hotdogs count. ,Fourth-Year ,D.C.
101,1/21/2025 11:18,1/21/2025 11:19,anonymous,,No,,Fourth-Year ,
102,1/21/2025 11:17,1/21/2025 11:19,anonymous,,Yes ,,Fourth-Year ,"Fairfax, VA"
103,1/21/2025 11:19,1/21/2025 11:19,anonymous,,Yes ,,Fourth-Year ,"Fairfax, VA"
104,1/21/2025 11:20,1/21/2025 11:20,anonymous,,Yes ,,,
105,1/21/2025 11:20,1/21/2025 11:22,anonymous,,Yes ,"A Hotdog is a sandwich because it fits the confines of what a sandwich entails (some toppings/meat) in between pieces of bread. Addtionally, other states have elected to tax hotdogs as sandwiches so that is also evidence",Fourth-Year ,"Chantilly, VA"
106,1/21/2025 11:25,1/21/2025 11:26,anonymous,,No,it only has one bread,Third-Year,nova
